渠道名称,日期,投放费用,展示量,点击量,转化量,次日留存率,7日留存率,转化ROI(%)
社交媒体,2025-02-11,3793.97,29502,479,2,0.3819,0.2571,0.05
行业论坛,2025-02-04,753.85,7889,79,1,0.3618,0.2256,0.13
信息流广告,2024-11-29,1810.53,14437,313,3,0.3814,0.2255,0.17
信息流广告,2025-01-02,4924.54,60417,2248,26,0.3395,0.1707,0.53
短视频平台,2025-02-17,571.85,4861,181,2,0.2722,0.1814,0.35
社交媒体,2025-01-07,3481.35,36267,1155,8,0.154,0.1069,0.23
KOL合作,2024-12-26,4669.96,38226,1254,16,0.4689,0.3246,0.34
行业论坛,2025-01-04,3140.38,32009,2200,12,0.3919,0.2089,0.38
搜索引擎,2024-12-25,4169.58,50293,2054,45,0.4431,0.2533,1.08
邮件营销,2024-12-16,2522.53,23985,881,13,0.273,0.1688,0.52
短视频平台,2025-01-10,3709.6,39777,1624,20,0.5038,0.3046,0.54
信息流广告,2024-12-11,1407.74,13908,452,6,0.4461,0.2355,0.43
短视频平台,2025-01-28,1529.59,14646,240,4,0.3073,0.2033,0.26
邮件营销,2025-01-29,1482.98,17684,406,2,0.329,0.188,0.13
搜索引擎,2025-01-30,2421.99,25654,263,9,0.3761,0.2195,0.37
信息流广告,2025-01-13,1598.56,14441,466,5,0.293,0.1503,0.31
搜索引擎,2025-01-18,2737.62,21503,246,9,0.2507,0.1506,0.33
搜索引擎,2025-02-25,1578.03,15670,774,21,0.2331,0.1479,1.33
搜索引擎,2025-01-19,2155.02,27606,867,19,0.4892,0.3263,0.88
信息流广告,2025-02-23,3159.02,21793,780,5,0.3569,0.2277,0.16
KOL合作,2025-02-25,3540.61,29474,933,14,0.4177,0.228,0.4
应用商店,2024-12-28,1673.73,20086,352,3,0.3652,0.2338,0.18
邮件营销,2025-01-03,4009.44,34641,1313,24,0.3732,0.2319,0.6
信息流广告,2024-12-06,2685.26,27661,471,2,0.3484,0.2086,0.07
社交媒体,2025-02-18,4321.51,50320,691,7,0.5397,0.2985,0.16
应用商店,2025-01-06,4514.21,56060,1687,23,0.4038,0.2417,0.51
行业论坛,2025-02-07,3074.02,30668,649,11,0.3691,0.2397,0.36
搜索引擎,2025-01-11,4849.95,40285,1774,52,0.1985,0.106,1.07
KOL合作,2024-12-30,4685.08,36096,727,6,0.489,0.276,0.13
信息流广告,2025-01-09,2987.69,25891,2035,12,0.1808,0.0934,0.4
信息流广告,2025-02-10,728.46,5010,184,1,0.55,0.2921,0.14
垂直媒体,2024-12-30,637.25,5234,161,2,0.3165,0.1719,0.31
信息流广告,2025-01-10,3647.8,35696,975,15,0.3014,0.1658,0.41
