Feature,Importance
duration,0.15638869828058413
emp_var_rate,0.1449736216025175
pdays,0.11611238961060806
month_encoded,0.07543700920378395
lending_rate3m,0.07469334121899902
age,0.07185011568320507
campaign,0.06966115662867395
cons_conf_index,0.05410512222282369
cons_price_index,0.04704382573145554
nr_employed,0.04548346901421755
job_encoded,0.021739408045433367
education_encoded,0.01981567058918621
day_of_week_encoded,0.01957859658999619
default_encoded,0.019353471234118663
previous,0.0181120162234874
marital_encoded,0.014135037189807936
loan_encoded,0.009325925656619946
housing_encoded,0.008074048923579576
poutcome_encoded,0.007387220332926101
contact_encoded,0.0067298560179759916
