Model,Feature,Importance
Random Forest,age,0.0813560515389127
Random Forest,duration,0.1276078596878155
Random Forest,campaign,0.05568361634174092
Random Forest,pdays,0.09912918227140909
Random Forest,previous,0.026773587093163905
Random Forest,emp_var_rate,0.07554515293592758
Random Forest,cons_price_index,0.06686912678816156
Random Forest,cons_conf_index,0.07204991451530261
Random Forest,lending_rate3m,0.08935384805549852
Random Forest,nr_employed,0.06808565980357002
Random Forest,job_encoded,0.03443620851627802
Random Forest,marital_encoded,0.021927513222325817
Random Forest,education_encoded,0.02985622216287312
Random Forest,default_encoded,0.01798490255916654
Random Forest,housing_encoded,0.01376678886388533
Random Forest,loan_encoded,0.011544618705952981
Random Forest,contact_encoded,0.009360012835989607
Random Forest,month_encoded,0.054588061021076564
Random Forest,day_of_week_encoded,0.028820822760660763
Random Forest,poutcome_encoded,0.015260850320288703
Gradient Boosting,age,0.06224684198668109
Gradient Boosting,duration,0.2036116345882057
Gradient Boosting,campaign,0.08702187226929625
Gradient Boosting,pdays,0.12250130875023335
Gradient Boosting,previous,0.004447462991621903
Gradient Boosting,emp_var_rate,0.25512073837759
Gradient Boosting,cons_price_index,0.007355102170647877
Gradient Boosting,cons_conf_index,0.009366334998505059
Gradient Boosting,lending_rate3m,0.05592824110701475
Gradient Boosting,nr_employed,0.008438765162184775
Gradient Boosting,job_encoded,0.004202588578306809
Gradient Boosting,marital_encoded,0.010146930679555305
Gradient Boosting,education_encoded,0.004427888365866856
Gradient Boosting,default_encoded,0.02529032979389071
Gradient Boosting,housing_encoded,0.0009964567192361337
Gradient Boosting,loan_encoded,0.0016678894469413631
Gradient Boosting,contact_encoded,0.003803429860901173
Gradient Boosting,month_encoded,0.13106285222647257
Gradient Boosting,day_of_week_encoded,0.002125786391540234
Gradient Boosting,poutcome_encoded,0.000237545535308042
Decision Tree,age,0.0719474535240214
Decision Tree,duration,0.13794660056573121
Decision Tree,campaign,0.06627798127498469
Decision Tree,pdays,0.12670667781018174
Decision Tree,previous,0.02311499858567639
Decision Tree,emp_var_rate,0.10425497349403504
Decision Tree,cons_price_index,0.06690724823555717
Decision Tree,cons_conf_index,0.08089911715466341
Decision Tree,lending_rate3m,0.07879793449448382
Decision Tree,nr_employed,0.059925982076897845
Decision Tree,job_encoded,0.026579427041715262
Decision Tree,marital_encoded,0.010330667667542691
Decision Tree,education_encoded,0.025162901238818654
Decision Tree,default_encoded,0.014785181349298742
Decision Tree,housing_encoded,0.009458901187617266
Decision Tree,loan_encoded,0.014765268816965499
Decision Tree,contact_encoded,0.007026125357037195
Decision Tree,month_encoded,0.04066011436380274
Decision Tree,day_of_week_encoded,0.027789180617787568
Decision Tree,poutcome_encoded,0.006663265143181558
