维度,类别,认购率
个人贷款,unknown,29.92125984251969
个人贷款,yes,14.137270987147934
个人贷款,no,12.080873342987635
婚姻状况,unknown,45.625
婚姻状况,single,16.440731399747794
婚姻状况,divorced,13.243039879608729
婚姻状况,married,10.70723933829109
房贷情况,unknown,25.395033860045146
房贷情况,yes,12.74204702627939
房贷情况,no,12.472625920764484
教育水平,illiterate,50.31055900621118
教育水平,unknown,18.209255533199194
教育水平,university.degree,14.730226854690374
教育水平,professional.course,13.704872064493514
教育水平,basic.6y,12.157153446997777
教育水平,basic.4y,12.144702842377262
教育水平,high.school,11.667660504869808
教育水平,basic.9y,9.338640538885487
星期几,tue,14.25011327594019
星期几,thu,14.170896785109981
星期几,wed,13.189771197846568
星期几,fri,12.45585118907464
星期几,mon,11.519449817322158
职业,student,32.98429319371728
职业,retired,27.037773359840955
职业,unknown,25.91240875912409
职业,unemployed,20.247295208655334
职业,self-employed,16.38755980861244
职业,housemaid,14.916286149162861
职业,management,13.5625
职业,admin.,13.136584488033112
职业,entrepreneur,12.282734646581691
职业,technician,12.237960339943344
职业,services,9.649543927028324
职业,blue-collar,7.550266721378744
联系方式,cellular,16.204781045060294
联系方式,telephone,7.861521817526144
违约记录,yes,52.5065963060686
违约记录,no,13.608713284282487
违约记录,unknown,8.31275720164609
