feature,coefficient,abs_coefficient
housing_encoded,-0.025373843041401598,0.025373843041401598
nr_employed,-0.029756027758362464,0.029756027758362464
loan_encoded,0.030215679105400663,0.030215679105400663
default_encoded,0.03692620050901681,0.03692620050901681
month_encoded,-0.04912919020117617,0.04912919020117617
cons_price_index,0.05567340918187232,0.05567340918187232
cons_conf_index,0.06644133335812696,0.06644133335812696
lending_rate3m,-0.07091742130584493,0.07091742130584493
duration,0.07582579806993459,0.07582579806993459
poutcome_encoded,0.09047969376632437,0.09047969376632437
day_of_week_encoded,0.09760300405990385,0.09760300405990385
job_encoded,0.1026497582771529,0.1026497582771529
previous,-0.1189548958600008,0.1189548958600008
education_encoded,0.11954066374556856,0.11954066374556856
age,0.14687503673785915,0.14687503673785915
contact_encoded,-0.15160075932354417,0.15160075932354417
marital_encoded,0.1877007705264881,0.1877007705264881
pdays,-0.1912734400664997,0.1912734400664997
campaign,0.33487635544844246,0.33487635544844246
emp_var_rate,-0.6938711385043623,0.6938711385043623
