学校,文理科,招生省份,平均分数
北京大学,理科,北京,681.3333333
北京大学,文科,天津,690.5
北京大学,理科,辽宁,689.5
北京大学,文科,吉林,686.6
北京大学,理科,黑龙江,692.0
北京大学,理科,上海,538.6
北京大学,文科,江苏,421.0
北京大学,文科,浙江,737.3333333
北京大学,文科,安徽,691.75
北京大学,理科,福建,679.75
北京大学,文科,山东,691.75
北京大学,文科,湖北,690.75
北京大学,理科,湖南,684.75
北京大学,理科,广东,681.75
北京大学,理科,重庆,698.5
北京大学,理科,四川,693.8
北京大学,文科,陕西,700.25
北京大学,理科,甘肃,674.75
北京大学,文科,河北,704.25
北京大学,理科,山西,674.0
北京大学,理科,内蒙古,684.25
北京大学,文科,河南,689.5
北京大学,理科,海南,870.3333333
北京大学,文科,广西,689.5
北京大学,文科,贵州,685.5
北京大学,文科,云南,707.5
北京大学,文科,西藏,612.6666667
北京大学,理科,青海,649.6
北京大学,理科,宁夏,664.0
北京大学,理科,新疆,678.0
北京大学,理科,江西,677.0
中国人民大学,文科,北京,665.2
中国人民大学,理科,天津,670.2
中国人民大学,理科,辽宁,670.4
中国人民大学,文科,吉林,668.2
中国人民大学,理科,黑龙江,665.2
中国人民大学,文科,上海,491.75
中国人民大学,文科,江苏,402.8
中国人民大学,理科,浙江,704.5
中国人民大学,文科,安徽,663.0
中国人民大学,文科,福建,654.8
中国人民大学,理科,山东,662.0
中国人民大学,文科,湖北,662.6
中国人民大学,文科,湖南,659.4
中国人民大学,理科,广东,661.4
中国人民大学,理科,重庆,664.6
中国人民大学,文科,四川,681.6
中国人民大学,文科,陕西,673.2
中国人民大学,文科,甘肃,639.4
中国人民大学,理科,河北,683.0
中国人民大学,理科,山西,645.6
中国人民大学,理科,内蒙古,651.4
中国人民大学,文科,河南,670.2
中国人民大学,理科,海南,833.0
中国人民大学,理科,广西,655.0
中国人民大学,文科,贵州,658.75
中国人民大学,文科,云南,668.4
中国人民大学,理科,西藏,598.8
中国人民大学,理科,青海,613.6
中国人民大学,理科,宁夏,626.0
中国人民大学,理科,新疆,653.6666667
中国人民大学,理科,江西,658.0
清华大学,文科,北京,682.2
清华大学,文科,天津,691.25
清华大学,理科,辽宁,687.25
清华大学,文科,吉林,682.4
清华大学,理科,黑龙江,677.8
清华大学,文科,上海,552.0
清华大学,文科,江苏,418.2
清华大学,文科,浙江,726.0
清华大学,理科,安徽,683.4
清华大学,理科,福建,674.0
清华大学,文科,山东,690.4
清华大学,文科,湖北,680.4
清华大学,理科,湖南,680.6
清华大学,理科,广东,678.4
清华大学,文科,重庆,693.6
清华大学,理科,四川,689.0
清华大学,文科,陕西,690.0
清华大学,理科,甘肃,666.8
清华大学,理科,河北,692.6
清华大学,文科,山西,662.0
清华大学,理科,内蒙古,679.6
清华大学,文科,河南,685.4
清华大学,理科,海南,846.0
清华大学,理科,广西,676.4
清华大学,理科,贵州,681.0
清华大学,理科,云南,701.4
